book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Judges	21	21	17	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			And they said, There must be an inheritance of them that are escaped of Benjamin; and so a tribe shall not be destroyed out of Israel.	καὶ εἶπαν Κληρονοµία διασεσῳσµένη τῷ Βενιαµιν, καὶ οὐ µὴ ἐξαλειφθῇ φυλὴ ἐξ Ισραηλ·						
Judges	21	21	18	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			For we shall not be able to give them wives of our daughters, because we swore among the children of Israel, saying, Cursed is he that gives a wife to Benjamin.	καὶ ἡµεῖς οὐ δυνησόµεθα δοῦναι αὐτοῖς γυναῖκας ἀπὸ τῶν θυγατέρων ἡµῶν, ὅτι ὠµόσαµεν οἱ υἱοὶ Ισραηλ λέγοντες Ἐπικατάρατος ὁ διδοὺς γυναῖκα τῷ Βενιαµιν.						
Judges	21	21	19	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			And they said, Lo! now there is a feast of the Lord from year to year in Selom, which is on the north of Baethel, eastward on the way that goes up from Baethel to Sychem, and from the south of Lebona.	καὶ εἶπαν Ἑορτὴ τῷ κυρίῳ ἐν Σηλω ἀφ’ ἡµερῶν εἰς ἡµέρας, ἥ ἐστιν ἀπὸ βορρᾶ τῆς Βαιθηλ κατ’ ἀνατολὰς ἡλίου ἐν τῇ ὁδῷ τῇ ἀναβαινούσῃ ἐκ Βαιθηλ εἰς Σικιµα καὶ ἀπὸ νότου τοῦ Λιβάνου τῆς Λεβωνα.						
Judges	21	21	20	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			And they charged the children of Benjamin, saying, Go and lie in wait in the vineyards;	καὶ ἐνετείλαντο τοῖς υἱοῖς Βενιαµιν λέγοντες Διέλθατε καὶ ἐνεδρεύσατε ἐν τοῖς ἀµπελῶσιν·						
Judges	21	21	21	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			and ye shall see; and lo! if there come out the daughters of the inhabitants of Selom to dance in dances, then shall ye go out of the vineyards and seize for yourselves every man a wife of the daughters of Selom, and go ye into the land of Benjamin.	καὶ ὄψεσθε καὶ ἰδοὺ ὡς ἂν ἐξέλθωσιν αἱ θυγατέρες τῶν κατοικούντων Σηλω ἐν Σηλω χορεῦσαι ἐν χοροῖς, καὶ ἐξελεύσεσθε ἀπὸ τῶν ἀµπελώνων καὶ ἁρπάσετε ἀνὴρ ἑαυτῷ γυναῖκα ἀπὸ τῶν θυγατέρων Σηλω καὶ ἀπελεύσεσθε εἰς γῆν Βενιαµιν.						
Judges	21	21	22	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			And it shall come to pass, when their fathers or their brethren come to dispute with us, that we will say to them, Grant them freely to us, for we have not taken every man his wife in the battle: because ye did not give to them according to the occasion, ye transgressed.	καὶ ἔσται ὅταν ἔλθωσιν οἱ πατέρες αὐτῶν ἢ οἱ ἀδελφοὶ αὐτῶν κρίνεσθαι πρὸς ὑµᾶς, καὶ ἐροῦµεν πρὸς αὐτούς Ἐλεήσατε αὐτούς, ὅτι οὐκ ἔλαβον ἀνὴρ γυναῖκα αὐτοῦ ἐν τῷ πολέµῳ· οὐ γὰρ ὑµεῖς δεδώκατε αὐτοῖς· κατὰ τὸν καιρὸν ἐπληµµελήσατε.						
Judges	21	21	23	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			And the children of Benjamin did so; and they took wives according to their number from the dancers whom they seized: and they went and returned to their inheritance, and built the cities, and dwelt in them.	καὶ ἐποίησαν οὕτως οἱ υἱοὶ Βενιαµιν καὶ ἔλαβον γυναῖκας κατὰ τὸν ἀριθµὸν αὐτῶν ἀπὸ τῶν χορευουσῶν, ἃς διήρπασαν· καὶ ἀπῆλθον καὶ ἀπέστρεψαν ἐπὶ τὴν κληρονοµίαν αὐτῶν καὶ ᾠκοδόµησαν ἑαυτοῖς πόλεις καὶ κατῴκησαν ἐν αὐταῖς.						
Judges	21	21	24	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges			And the children of Israel went thence at that time every man to his tribe and his kindred; and they went thence every man to his inheritance.	καὶ περιεπάτησαν ἐκεῖθεν οἱ υἱοὶ Ισραηλ ἐν τῷ καιρῷ ἐκείνῳ, ἀνὴρ εἰς τὴν φυλὴν αὐτοῦ καὶ εἰς τὴν συíένειαν αὐτοῦ, καὶ ἀπῆλθον ἐκεῖθεν, ἀνὴρ εἰς τὴν κληρονοµίαν αὐτοῦ. —						
Judges	21	21	25	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	02. Judges		]	And in those days there was no king in Israel; every man did that which was right in his own sight.	ἐν ταῖς ἡµέραις ἐκείναις οὐκ ἦν βασιλεὺς ἐν Ισραηλ· ἀνὴρ ἕκαστος τὸ εὐθὲς ἐν ὀφθαλµοῖς αὐτοῦ ἐποίει.						
Ruth	1	1	1	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲛ̅ⲧⲉⲣⲉ ⲛⲉⲕⲣⲓⲧⲏⲥ ϩⲙⲟⲟⲥ ⲉϯϩⲁⲡ ⲁⲩϩⲉⲃⲱⲱⲛ ϣⲱⲡⲉ ϩⲙ̅ ⲡⲕⲁϩ ⲁⲩⲱ ⲁϥⲃⲱⲕ ⲛ̅ϭⲓ ⲟⲩⲣⲱⲙⲉ ⲉⲩⲉⲃⲟⲗ ⲡⲉ ϩⲛ̅ ⲃⲏⲑⲗⲉⲉⲙ ⲙ̅ⲡⲕⲁϩ ⲛ̅ⲓⲟⲩⲇⲁ ⲉⲧⲣⲉϥϭⲟⲓⲗⲉ ⲉⲧⲥⲱϣⲉ ⲙ̅ⲙⲱⲁⲃ ⲛ̅ⲧⲟϥ ⲙⲛ̅ ⲧⲉϥⲥϩⲓⲙⲉ ⲙⲛ̅ ⲡⲉϥϣⲏⲣⲉ ⲥⲛⲁⲩ	And it came to pass when the judges ruled, that there was a famine in the land: and a man went from Bethleem Juda to sojourn in the land of Moab, he, and his wife, and his two sons.	Καὶ ἐγένετο ἐν τῷ κρίνειν τοὺς κριτὰς καὶ ἐγένετο λιµὸς ἐν τῇ γῇ, καὶ ἐπορεύθη ἀνὴρ ἀπὸ Βαιθλεεµ τῆς Ιουδα τοῦ παροικῆσαι ἐν ἀγρῷ Μωαβ, αὐτὸς καὶ ἡ γυνὴ αὐτοῦ καὶ οἱ υἱοὶ αὐτοῦ.						
Ruth	1	1	2	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲩⲱ ⲡⲣⲁⲛ ⲙ̅ⲡⲣⲱⲙⲉ ⲡⲉ ⲁⲃⲓⲙⲉⲗⲉⲭ ⲁⲩⲱ ⲡⲣⲁ ⲛ̅ⲧⲉϥⲥϩⲓⲙⲉ ⲧⲉ ⲛⲟⲉⲙⲓⲛ ⲡⲣⲁⲛ ⲇⲉ ⲙ̅ⲡⲉϥϣⲏⲣⲉ ⲥⲛⲁⲩ ⲡⲉ ⲙⲁⲁⲗⲱⲛ ⲙⲛ̅ ⲭⲉⲗⲁⲓⲱⲛ ϩⲉⲛⲉⲫⲣⲁⲑⲁⲓⲟⲥ ⲉⲃⲟⲗ ϩⲛ̅ ⲃⲏⲑⲗⲉⲉⲙ ⲙ̅ⲡⲕⲁϩ ⲛ̅ⲓⲟⲩⲇⲁ ⲁⲩⲱ ⲁⲩⲉⲓ ⲉϩⲣⲁⲓ ⲉⲧⲥⲱϣⲉ ⲙ̅ⲙⲱⲁⲃ ⲁⲩϭⲱ ⲙ̅ⲡⲙⲁ ⲉⲧⲙ̅ⲙⲁⲩ	And the man’s name was Elimelech, and his wife’s name Noemin, and the names of his two sons Maalon and Chelaion, Ephrathites of Bethleem of Juda: and they came to the land of Moab, and remained there.	καὶ ὄνοµα τῷ ἀνδρὶ Αβιµελεχ, καὶ ὄνοµα τῇ γυναικὶ αὐτοῦ Νωεµιν, καὶ ὄνοµα τοῖς δυσὶν υἱοῖς αὐτοῦ Μααλων καὶ Χελαιων, Εφραθαῖοι ἐκ Βαιθλεεµ τῆς Ιουδα· καὶ ἤλθοσαν εἰς ἀγρὸν Μωαβ καὶ ἦσαν ἐκεῖ.						
Ruth	1	1	3	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲩⲱ ⲁϥⲙⲟⲩ ⲛ̅ϭⲓ ⲁⲃⲓⲙⲉⲗⲉⲭ ⲡϩⲁⲓ ⲛ̅ⲛⲟⲉⲙⲓⲛ ⲁⲥϣⲱϫⲡ ⲇⲉ ⲛ̅ⲧⲟⲥ ⲙⲛ̅ ⲡⲉⲥϣⲏⲣⲉ ⲥⲛⲁⲩ	And Elimelech the husband of Noemin died; and she was left, and her two sons.	καὶ ἀπέθανεν Αβιµελεχ ὁ ἀνὴρ τῆς Νωεµιν, καὶ κατελείφθη αὐτὴ καὶ οἱ δύο υἱοὶ αὐτῆς.						
Ruth	1	1	4	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲩⲱ ⲁⲩϫⲓ ⲛⲁⲩ ⲛ̅ϩⲉⲛϩⲓⲟⲙⲉ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲕⲁϩ ⲙ̅ⲙⲱⲁⲃ ⲉⲡⲣⲁⲛ ⲛ̅ⲧⲟⲩⲓ̈ ⲙ̅ⲙⲟⲟⲩ ⲡⲉ ⲟⲣⲫⲁ ⲁⲩⲱ ⲡⲣⲁⲛ ⲛ̅ⲧⲙⲉϩⲥⲛ̅ⲧⲉ ⲧⲉ ϩⲣⲟⲩⲑ ⲁⲩⲟⲩⲱϩ ϩⲙ̅ ⲡⲙⲁ ⲉⲧⲙ̅ⲙⲁⲩ ⲛⲁⲙⲏⲧⲉ ⲣ̅ⲛⲟⲙⲡⲉ	And they took to themselves wives, women of Moab; the name of the one was Orpha, and the name of the second Ruth; and they dwelt there about ten years.	καὶ ἐλάβοσαν ἑαυτοῖς γυναῖκας Μωαβίτιδας, ὄνοµα τῇ µιᾷ Ορφα, καὶ ὄνοµα τῇ δευτέρᾳ Ρουθ· καὶ κατῴκησαν ἐκεῖ ὡς δέκα ἔτη.						
Ruth	1	1	5	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲩⲱ ⲁⲩⲙⲟⲩ ⲙ̅ⲡⲉⲥⲛⲁⲩ ⲙⲁⲁⲗⲗⲱⲛ ⲙⲛ̅ ⲭⲁⲓⲗⲉⲱⲛ ⲧⲉⲥϩⲓⲙⲉ ⲇⲉ ⲁⲥⲣ̅ⲭⲏⲣⲁ ⲉⲁⲥⲣ̅ⲁⲧϩⲁⲓ ⲁⲩⲱ ⲉⲁⲥⲣ̅ⲁⲧϣⲏⲣⲉ	And both Maalon and Chelaion died also; and the woman was left of her husband and her two sons.	καὶ ἀπέθανον καί γε ἀµφότεροι, Μααλων καὶ Χελαιων, καὶ κατελείφθη ἡ γυνὴ ἀπὸ τοῦ ἀνδρὸς αὐτῆς καὶ ἀπὸ τῶν δύο υἱῶν αὐτῆς.						
Ruth	1	1	6	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲥⲧⲱⲟⲩⲛ ⲇⲉ ⲛ̅ⲧⲟⲥ ⲙⲛ̅ ⲧⲉⲥϣⲉⲗⲉⲉⲧ ⲥⲛ̅ⲧⲉ ⲁⲩⲕⲧⲟⲟⲩ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲥⲱϣⲉ ⲙ̅ⲙⲱⲁⲃ ⲉⲃⲟⲗ ϫⲉ ⲁⲩⲥⲱⲧⲙ̅ ϩⲛ ⲧⲥⲱϣⲉ ⲙ̅ⲙⲱⲁⲃ ϫⲉ ⲁ ⲡϫⲟⲉⲓⲥ ϭⲙ̅ⲡϣⲓⲛⲉ ⲙ̅ⲡⲉϥⲗⲁⲟⲥ ⲉⲧⲣⲉϥϯⲟⲉⲓⲕ ⲛⲁⲩ	And she rose up and her two daughters-in-law, and they returned out of the country of Moab, for she heard in the country of Moab that the Lord had visited his people to give them bread.	καὶ ἀνέστη αὐτὴ καὶ αἱ δύο νύµφαι αὐτῆς καὶ ἀπέστρεψαν ἐξ ἀγροῦ Μωαβ, ὅτι ἤκουσαν ἐν ἀγρῷ Μωαβ ὅτι ἐπέσκεπται κύριος τὸν λαὸν αὐτοῦ δοῦναι αὐτοῖς ἄρτους.						
Ruth	1	1	7	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲩⲱ ⲁⲥⲉⲓ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲙⲁⲉⲧⲥ ⲛ̅ϩⲏⲧⲥ̅ ⲛ̅ⲧⲟⲥ ⲙ̅ⲛ ⲧⲉⲥϣⲉⲗⲉⲉⲧ ⲥⲛ̅ⲧⲉ ⲛⲙ̅ⲙⲁⲥ ⲁⲩⲙⲟⲟϣⲉ ϩⲛ ⲧⲉϩⲓⲏ ⲉⲧⲣⲉⲩⲕⲧⲟⲟⲩ ⲉϩⲣⲁⲓ ⲉⲡⲕⲁϩ ⲛ̅ⲓ̈ⲟⲩⲇⲁ	And she went forth out of the place where she was, and her two daughters-in-law with her: and they went by the way to return to the land of Juda.	καὶ ἐξῆλθεν ἐκ τοῦ τόπου, οὗ ἦν ἐκεῖ, καὶ αἱ δύο νύµφαι αὐτῆς µετ’ αὐτῆς· καὶ ἐπορεύοντο ἐν τῇ ὁδῷ τοῦ ἐπιστρέψαι εἰς τὴν γῆν Ιουδα.						
Ruth	1	1	8	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲛⲟⲉⲙⲓⲛ ⲧⲉ ⲡⲉϫⲁⲥ ⲛ̅ⲧⲉⲥϣⲉⲗⲉⲉⲧ ⲥⲛ̅ⲧⲉ ϫⲉ ⲃⲱⲕ ⲛ̅ⲧⲉⲧⲛ̅ⲕⲧⲉⲧⲏⲩⲧⲛ̅ ⲛ̅ϭⲓ ⲧⲟⲩⲓ̈ ⲧⲟⲩⲓ̈ ⲙ̅ⲙⲱⲧⲛ ⲉⲡⲏⲓ ⲛ̅ⲧⲉⲥⲙⲁⲁⲩ ⲁⲩⲱ ⲉⲣⲉ ⲡϫⲟⲓ̈ⲥ ⲉⲓⲣⲉ ⲛ̅ⲟⲩⲛⲁ ⲛⲙ̅ⲙⲏⲧⲛ̅ ⲕⲁⲧⲁ ⲑⲉ ⲉⲛⲧⲁⲧⲉⲧⲛ̅ⲉⲓⲣⲉ ⲙⲛ̅ ⲛⲉⲛⲧⲁⲩⲙⲟⲩ	And Noemin said to her daughter-in-law, Go now, return each to the house of her mother: the Lord deal mercifully with you, as ye have dealt with the dead, and with me.	καὶ εἶπεν Νωεµιν ταῖς νύµφαις αὐτῆς Πορεύεσθε δὴ ἀποστράφητε ἑκάστη εἰς οἶκον µητρὸς αὐτῆς· ποιήσαι κύριος µεθ’ ὑµῶν ἔλεος, καθὼς ἐποιήσατε µετὰ τῶν τεθνηκότων καὶ µετ’ ἐµοῦ·						
Ruth	1	1	9	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ⲁⲩⲱ ⲛⲙ̅ⲙⲁⲓ ϩⲱ ⲉⲣⲉ ⲡϫⲟⲉⲓⲥ ⲧⲱⲱⲃⲉ ⲛⲏⲧⲛ̅ ⲛ̅ⲧⲉ ⲧⲟⲩⲓ̈ ⲧⲟⲩⲓ̈ ⲙ̅ⲙⲱⲧⲛ̅ ϭⲓⲛⲉ ⲛ̅ⲟⲩⲁⲛⲁⲡⲁⲩⲥⲓⲥ ϩⲙ̅ ⲡⲏⲓ ⲙ̅ⲡⲉⲥϩⲁⲓ ⲁⲩⲱ ⲁⲥϯⲡⲓ ⲉⲣⲱⲟⲩ ⲁⲩϥⲓϩⲣⲁⲩ ⲇⲉ ⲉⲃⲟⲗ ⲁⲩⲣⲓⲙⲉ ⲉⲩϫⲱ ⲙ̅ⲙⲟⲥ	The Lord grant you that ye may find rest each of you in the house of her husband: and she kissed them; and they lifted up their voice, and wept.	δῴη κύριος ὑµῖν καὶ εὕροιτε ἀνάπαυσιν ἑκάστη ἐν οἴκῳ ἀνδρὸς αὐτῆς. καὶ κατεφίλησεν αὐτάς, καὶ ἐπῆραν τὴν φωνὴν αὐτῶν καὶ ἔκλαυσαν.						
Ruth	1	1	10	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	03. Ruth		ϫⲉ ⲉⲛⲁⲕⲧⲟⲛ ⲛⲙ̅ⲙⲉ ⲉⲣⲁⲧϥ ⲙ̅ⲡⲟⲩⲗⲁⲟⲥ	And they said to her, We will return with thee to thy people.	καὶ εἶπαν αὐτῇ Μετὰ σοῦ ἐπιστρέφοµεν εἰς τὸν λαόν σου.						
